Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
28395,610.291,208.1781167,173.888747,1.197191424,0.5498121871,28715,190.1410973,0.7639225182,0.9888559986,0.9580271263,0.9133577548,0.007331506135,0.003147289167,0.8342223882,0.998723889,SEKER
28734,638.018,200.5247957,182.7344194,1.097356461,0.4117852514,29172,191.2727505,0.7839681327,0.9849856026,0.8870336366,0.9538608423,0.006978659277,0.003563623712,0.9098505064,0.9984303314,SEKER
29380,624.11,212.8261299,175.9311426,1.209712656,0.5627273168,29690,193.4109041,0.7781132475,0.989558774,0.947849473,0.9087742385,0.00724391184,0.003047733217,0.8258706166,0.9990661374,SEKER
30008,645.884,210.557999,182.5165157,1.153638059,0.4986159764,30724,195.4670618,0.7826812728,0.9766957427,0.9039363743,0.9283288348,0.007016728838,0.003214562079,0.8617944254,0.9941988485,SEKER
30140,620.134,201.8478822,190.2792788,1.06079802,0.3336796578,30417,195.896503,0.7730980352,0.9908932505,0.9848770694,0.9705155232,0.006697010025,0.003664971964,0.9419003809,0.999166059,SEKER
30279,634.927,212.5605564,181.5101816,1.171066849,0.5204006603,30600,196.3477022,0.7756884847,0.9895098039,0.9438517833,0.9237259515,0.007020065274,0.003152778739,0.8532696335,0.9992357811,SEKER
30477,670.033,211.0501553,184.0390501,1.146768336,0.4894778945,30970,196.9886332,0.7624015009,0.9840813691,0.8530798688,0.9333735523,0.006924899279,0.003242016245,0.8711861881,0.9990487356,SEKER
30519,629.727,212.9967551,182.7372038,1.165590535,0.513759558,30847,197.1243203,0.7706818182,0.9893668752,0.967109244,0.9254803918,0.006979152497,0.003158285146,0.8565139557,0.9983445596,SEKER
30685,635.681,213.5341452,183.1571463,1.165852108,0.5140808603,31044,197.659696,0.7715614785,0.9884357686,0.9542398075,0.9256584977,0.006958909733,0.003151549519,0.8568436543,0.9989529809,SEKER
30834,631.934,217.2278128,180.8974686,1.2008339,0.5536422247,31120,198.1390121,0.7836828059,0.9908097686,0.9702782301,0.91212543,0.007045074034,0.003008039812,0.8319728,0.9990611424,SEKER
30917,640.765,213.5600894,184.4398709,1.157884618,0.5041023654,31280,198.4055115,0.7708052855,0.9883951407,0.9462581799,0.9290383428,0.006907529495,0.003174220295,0.8631122423,0.9993843889,SEKER
31091,638.558,210.4862549,188.3268476,1.117664622,0.4466219236,31458,198.9630385,0.7863773174,0.9883336512,0.9581728356,0.9452543047,0.006770005946,0.003333983668,0.8935057005,0.9986397106,SEKER
31107,640.594,214.6485485,184.9692526,1.160455295,0.5073658753,31423,199.0142269,0.7610461418,0.9899436718,0.9525817569,0.9271631619,0.00690032946,0.003145388257,0.8596315287,0.9975639589,SEKER
31158,642.626,216.4848362,183.6443122,1.178826797,0.529514251,31492,199.1773023,0.7987592289,0.9893941318,0.948119004,0.9200519803,0.006947969581,0.003071051708,0.8464956465,0.9978717512,SEKER
31158,641.105,212.0669751,187.1929601,1.132879009,0.4699241567,31474,199.1773023,0.7813134733,0.989959967,0.9526231013,0.9392188582,0.0068061806,0.003267009878,0.8821320637,0.9993488983,SEKER
31178,636.888,212.9759252,186.5620882,1.141582018,0.4823522245,31520,199.2412169,0.7641104821,0.9891497462,0.965899596,0.9355105126,0.006830968156,0.003227429113,0.8751799192,0.9990896583,SEKER
31202,644.454,215.6406947,184.4716842,1.168963657,0.5178712233,31573,199.3178875,0.7791928878,0.9882494536,0.9440792434,0.9243055341,0.006911117707,0.003111646592,0.8543407204,0.9986932532,SEKER
31203,639.782,215.067737,184.8748759,1.163315112,0.5109468292,31558,199.3210815,0.7629841549,0.9887508714,0.9579485418,0.9267828094,0.006892533954,0.003136682459,0.8589263758,0.9992020327,SEKER
31272,638.666,212.4503189,187.535939,1.132851229,0.4698834942,31593,199.5413417,0.7703221992,0.9898395214,0.9634250364,0.9392376659,0.006793627493,0.003261245517,0.882167393,0.9993644153,SEKER
31335,635.011,216.7900923,184.1634403,1.177161395,0.5275867101,31599,199.7422367,0.7742772424,0.9916453052,0.9765108345,0.9213623862,0.006918464729,0.003075469386,0.8489086467,0.9993024867,SEKER
